TransactionID,TransactionAmount,TransactionHour,CustomerAge,AccountAgeDays,NumPrevTransactions,DistanceFromHomeKM,IsFraud
1,80.39,10,66,1410,36,8.63,0
2,66.2,15,64,1974,33,4.59,0
3,67.2,10,44,692,36,1.6,0
4,131.3,10,40,2061,23,6.67,0
5,74.73,7,62,395,24,8.92,0
6,92.1,11,65,1884,28,14.4,0
7,112.11,13,38,1675,14,5.77,0
8,58.4,11,39,1143,20,4.72,0
9,28.38,13,54,301,19,11.49,0
10,140.19,15,42,1917,23,12.4,0
11,82.35,12,19,537,24,7.49,0
12,27.48,11,33,979,33,2.06,0
13,122.45,19,32,2248,20,8.73,0
14,363.83,4,59,18,4,132.34,1
15,99.07,12,59,2382,22,27.55,0
16,239.35,13,27,208,33,25.77,0
17,28.5,11,30,1944,29,2.33,0
18,14.15,14,39,1217,15,0.18,0
19,98.72,18,21,1103,25,14.62,0
20,40.09,12,42,2135,23,4.96,0
21,77.34,17,53,1239,30,6.4,0
22,124.75,11,65,2107,27,43.27,0
23,15.27,14,25,2883,27,3.39,0
24,73.77,14,38,184,24,12.6,0
25,84.76,17,69,89,33,13.41,0
26,66.94,21,63,1203,23,1.57,0
27,90.34,13,20,945,26,12.35,0
28,440.49,22,55,15,5,206.38,1
29,38.56,20,22,2166,24,3.31,0
30,320.74,1,24,43,3,207.99,1
31,113.9,13,55,2188,31,4.77,0
32,69.05,10,49,2500,20,1.27,0
33,241.69,18,18,1481,20,0.89,0
34,64.97,13,68,2185,32,18.54,0
35,54.14,10,56,440,25,6.81,0
36,80.13,9,61,2239,31,10.13,0
37,52.57,9,29,2615,27,6.04,0
38,44.67,18,62,1383,23,8.41,0
39,165.85,15,64,764,33,2.5,0
40,81.08,15,50,224,28,9.91,0
41,7.09,15,32,2265,25,2.32,0
42,216.88,14,53,177,33,16.13,0
43,133.3,11,48,2131,21,16.27,0
44,510.53,22,53,3,4,264.02,1
45,29.92,13,22,2015,22,2.67,0
46,101.09,12,45,2932,17,5.37,0
47,67.93,9,65,923,22,12.22,0
48,175.68,7,33,369,23,9.14,0
49,206.29,12,66,2435,21,4.0,0
50,48.09,19,46,2628,26,9.07,0
51,53.18,15,41,1465,31,26.0,0
52,3.49,12,52,1170,23,1.09,0
53,63.48,23,37,2044,24,3.78,0
54,105.14,9,64,458,24,37.84,0
55,77.36,16,49,2719,28,14.04,0
56,84.84,14,29,1940,29,15.2,0
57,46.91,11,21,255,30,6.19,0
58,26.85,10,45,2733,22,2.47,0
59,33.03,9,41,2601,27,3.77,0
60,79.89,20,56,557,22,1.16,0
61,69.2,13,45,1698,17,11.98,0
62,71.81,12,55,999,28,8.1,0
63,86.55,13,68,303,19,2.6,0
64,52.84,14,37,817,15,10.53,0
65,81.05,17,52,1744,25,21.25,0
66,90.4,13,45,1481,24,7.86,0
67,17.58,13,57,2999,31,5.98,0
68,42.77,14,28,1711,31,10.56,0
69,57.22,18,20,867,18,1.87,0
70,20.67,7,69,2336,30,12.98,0
71,173.42,13,42,1855,20,6.57,0
72,39.77,14,44,1582,30,6.31,0
73,73.06,9,26,1392,19,3.35,0
74,19.28,20,30,656,30,5.27,0
75,17.39,15,39,829,21,8.96,0
76,26.17,16,55,112,22,2.73,0
77,58.12,21,21,2214,23,2.61,0
78,57.53,13,49,494,30,6.99,0
79,68.65,12,59,1440,36,15.39,0
80,69.18,19,65,1908,24,7.17,0
81,78.91,11,19,617,29,9.54,0
82,8.56,12,48,2104,16,15.02,0
83,15.04,17,27,2186,20,4.81,0
84,65.31,11,44,314,26,29.6,0
85,87.73,16,30,2270,17,5.44,0
86,161.55,17,60,1474,33,6.16,0
87,952.47,2,25,32,2,269.92,1
88,17.07,20,32,1663,17,7.12,0
89,39.74,13,64,1912,24,12.01,0
90,51.21,10,59,2208,23,15.23,0
91,54.35,14,62,1285,21,4.51,0
92,77.98,11,46,679,17,6.08,0
93,185.81,15,52,1595,27,12.27,0
94,251.13,15,65,598,26,19.96,0
95,18.49,11,60,931,23,4.7,0
96,145.37,16,30,651,19,11.14,0
97,2.42,10,31,2424,30,8.41,0
98,81.01,14,39,1420,26,7.8,0
99,89.78,16,37,647,21,2.98,0
100,56.44,7,68,2949,32,8.45,0
101,153.04,12,39,1536,25,8.86,0
102,177.61,17,35,2065,30,13.75,0
103,65.49,12,19,1665,23,28.89,0
104,63.84,10,27,2776,28,9.43,0
105,222.4,14,55,2966,21,13.76,0
106,63.41,12,22,2735,19,4.56,0
107,37.32,0,58,751,38,3.28,0
108,459.89,4,33,43,1,152.1,1
109,59.13,9,46,2872,28,4.69,0
110,121.11,16,63,2929,22,12.67,0
111,36.65,14,68,934,28,3.92,0
112,88.35,10,25,1694,18,4.06,0
